Row,Load_F1,Load_F2,Load_F3,RT_F1,RT_F2,RT_F3,Util_F1,Util_F2,Util_F3,Cold_F1,Cold_F2,Cold_F3
row_sim_5030,28.000902196657098,39.65926462327526,35.288775289242345,0.7527176225053583,0.5971392265579584,0.4435075365869852,0.13926074669046556,0.17903330309705845,0.2536133236784938,0.3161194029850746,0.19218719404738593,0.10090320226256728
row_sim_5031,53.11160154702747,28.456986191250312,10.720343312491218,0.5974434017010278,0.6929161252143298,0.4069116589473352,0.18685475335311366,0.17933900396078176,0.35973026713927553,0.18098452524995223,0.28681913600707104,0.10496568429551877
row_sim_5032,12.914193142902255,50.77109070361448,0.5728212056755664,1.1988123221606155,0.628830179238546,0.2199633388012638,0.07293120638085743,0.22288714574898785,0.9257206208425721,0.7275314559616537,0.18866167397462263,0.0023894862604540022
row_sim_5033,52.15436520171018,3.3825057319588865,23.529925161959856,0.4717244325540664,1.1225929328199897,0.45517013858974853,0.3373847760606657,0.11287645245435143,0.38495188101487315,0.10498837696734119,0.7022809123649459,0.12818639982470237
row_sim_5034,48.020564835365455,24.486541840502824,49.34977381389045,0.6339771303327403,0.6840112352329667,0.4236367360829,0.14061784314723397,0.15173656290661594,0.2283777810520112,0.2116635687732342,0.2846640800490096,0.08364411294619073
row_sim_5035,6.062915129820699,30.716956474789427,34.969317379040604,1.1060892131555118,0.5415711000927971,0.45033947265720337,0.11805392731535756,0.30657703658593716,0.3576407396777236,0.6506787330316742,0.1631336405529954,0.09867163608562692
row_sim_5036,53.457572404372605,5.662603310034642,20.349111082715705,0.4970689788644502,0.9826557455049448,0.4637288790055112,0.3004086484880006,0.15355276168950416,0.3715467457468394,0.11652096486967783,0.5755685986793837,0.13763755158184318
row_sim_5037,39.57791828906547,58.79680840751166,50.90404572127352,0.6766131194965757,0.5487764383256765,0.39876527266317563,0.11639258091161674,0.14056939501779359,0.2087986364170683,0.25854325327084554,0.15651503469545103,0.07330338141404587
row_sim_5038,50.79737894866857,31.055092639016053,33.879732369085566,0.6261565457207071,0.6302477739336306,0.430735938445539,0.14174557900741586,0.1677684407096172,0.24869056526766886,0.2017552916881776,0.2331234441353053,0.10152340709440676
row_sim_5039,51.52187664013509,52.184053896092735,48.146360200053095,0.6245526065951862,0.5650268794650567,0.4031722530156572,0.11864556366203813,0.13630033654404086,0.20940333523555893,0.2106270943034945,0.17525925925925925,0.07784810126582278
row_sim_5040,49.12334794731531,52.78381004710288,6.871226768961192,0.7032381174606599,0.675627073637857,0.3135963806497243,0.12691533818294382,0.1334790317925034,0.4347202295552367,0.26901840490797546,0.2430503380916604,0.049966239027684
row_sim_5041,17.593730645453007,58.56800636051877,32.70933078984151,0.8527235447425912,0.5234150042963777,0.4317116799892297,0.12856090373280943,0.196937766919677,0.2677699132688665,0.42150333016175073,0.13223377554679097,0.09839419044696737
row_sim_5042,10.629008409499438,30.208185210311655,38.7647613094503,0.9693595086402514,0.576380141630543,0.4509606096116432,0.1321189591078067,0.25413683686046207,0.31181974018463826,0.5229545454545454,0.18526160648489315,0.09554450091921704
row_sim_5043,49.70190793706256,48.739994725106904,3.0020275252783795,0.8205816951380157,0.8249465317786895,0.24467291165491253,0.09255442877838764,0.09054463877695151,0.6292528937215013,0.3395651717256591,0.34608359299452024,0.013079019073569483
row_sim_5044,27.23882296899588,1.2831149184111361,53.29495961379173,0.4966299137131441,1.2502787973227203,0.40826245691835866,0.36681222707423583,0.07056579783852511,0.3947688283714132,0.15352421444230385,0.8186119873817035,0.068916719733956
row_sim_5045,10.475669227341564,37.51123797529993,34.25857135825999,0.9834753003621187,0.548902132266325,0.4521085620154149,0.12857031675616779,0.250960363191898,0.30899678254348406,0.5307473982970672,0.15987460815047022,0.1021874602568994
