Row,Load_F1,RT_F1,Util_F1,Cold_F1
row_sim_74,2295.008322305206,0.2417570031249743,0.0,0.00017857142857142857
row_sim_75,1904.1732240857723,0.2417923754713402,0.0,0.0001485001485001485
row_sim_76,1660.7605230039544,0.24218364740988463,0.0,0.00012966804979253112
row_sim_77,1677.6435218782033,0.24183100131084606,0.0,0.0001305653479566523
row_sim_78,911.8850966829334,0.2415856649302399,0.0,7.124536905101169e-05
row_sim_79,92.50196281208981,0.01833197122368005,0.36593,1e-05
row_sim_80,1310.1803318276254,0.2419457571618471,0.0,0.00010196798205363516
row_sim_81,643.7932892249465,0.2407682416495029,0.0,5.0286633812732576e-05
row_sim_82,1225.6155047417221,0.2417806161096621,0.0,9.563886763580719e-05
row_sim_83,2560.216549650835,0.24208253261967888,0.0,0.00019940179461615153
row_sim_84,701.8567606217289,0.24118437612998955,0.0,5.4806532938726295e-05
row_sim_85,174.9553099301136,0.23100350950508147,0.0,1.3721562062625208e-05
row_sim_86,844.1876068713884,0.24164677939095247,0.0,6.593696426216537e-05
row_sim_87,880.8165936121624,0.24116983737313358,0.0,6.84931506849315e-05
row_sim_88,1985.7664483549486,0.2421527884450693,0.0,0.00015499070055796651
row_sim_89,1671.1186054162179,0.2421154175078185,0.0,0.00013042911177774878
row_sim_90,2351.7054324087853,0.24144007694096697,0.0,0.00018298261665141812
row_sim_91,1992.957405305146,0.24246097014407247,0.0,0.00015576323987538941
row_sim_92,1219.1902649771393,0.24152412384963184,0.0,9.519276534983341e-05
row_sim_93,2442.070452978871,0.2420191775168761,0.0,0.0001899335232668566
row_sim_94,500.9604110771163,0.24054336463293494,0.0,3.9019822069611365e-05
row_sim_95,68.18508379792473,0.012430213504891548,0.5775,1e-05
row_sim_96,270.1890799338865,0.23800803356174874,0.0,2.1113527437028903e-05
row_sim_97,2167.091933821821,0.24238684596018717,0.0,0.00016920473773265651
row_sim_98,1385.6585968926495,0.24203266332652887,0.0,0.00010820168794633196
row_sim_99,483.8572735118537,0.2405386906398209,0.0,3.769601930036188e-05
row_sim_100,1503.1592730713353,0.2416148899342912,0.0,0.00011704119850187266
row_sim_101,456.9786925343696,0.2402970942925913,0.0,3.564681139272092e-05
row_sim_102,2088.9763092144544,0.24239307982538183,0.0,0.00016318537859007833
row_sim_103,1338.4965189083132,0.24193099485435815,0.0,0.00010432968179447053
row_sim_104,1143.0946272281426,0.24163037562045775,0.0,8.91583452211127e-05
row_sim_105,904.5711918391721,0.2412325516099923,0.0,7.047713017125943e-05
row_sim_106,1890.8662652270093,0.24187860961185645,0.0,0.00014753614635585718
row_sim_107,1085.4697410296435,0.24170900105006113,0.0,8.450942280064228e-05
row_sim_108,262.9953754523372,0.23776420441557602,0.0,2.0436106512987146e-05
row_sim_109,354.0618060664399,0.2395187178136001,0.0,2.761820592134335e-05
row_sim_110,2885.6948987653163,0.24190572942100289,0.0,0.00022471910112359551
row_sim_111,2725.746643088286,0.24191669781128136,0.0,0.00021213406873143826
row_sim_112,2099.1364160755584,0.24223459752456195,0.0,0.00016350555918901244
row_sim_113,797.6465908804856,0.2412570835234374,0.0,6.195019204559534e-05
row_sim_114,2907.5306732243043,0.2422442745420568,0.0,0.00022644927536231884
row_sim_115,2336.2637743521855,0.24197362460358135,0.0,0.00018218254691200583
row_sim_116,2150.684722967529,0.24192150755465547,0.0,0.00016716817118020728
row_sim_117,1348.1120383562586,0.24173262837690374,0.0,0.00010510826150935464
row_sim_118,816.7610734573847,0.24119333017368838,0.0,6.339546088500064e-05
row_sim_119,289.2180669123902,0.23857511971171197,0.0,2.2549439646424786e-05
row_sim_120,2707.812059511698,0.24195718891693163,0.0,0.0002105263157894737
row_sim_121,1367.3560806863413,0.24184701848404358,0.0,0.00010675776662752215
row_sim_122,607.1299762174511,0.24083733758512454,0.0,4.7519482988025094e-05
row_sim_123,917.9045746207498,0.2414381348811949,0.0,7.140816909454442e-05
row_sim_124,1737.6797458472406,0.24179145278870087,0.0,0.0001353546291283162
row_sim_125,530.3595101785481,0.24075777890382652,0.0,4.153168867846167e-05
