Row,Load_F1,Load_F2,Load_F3,RT_F1,RT_F2,RT_F3,Util_F1,Util_F2,Util_F3,Cold_F1,Cold_F2,Cold_F3
row_sim_4865,92.90606676745054,109.85994706042965,16.42368383080172,1.2392543625701022,1.1386639002051575,0.037040082897633254,0.0065481537515956695,0.005927788755164361,0.8032117941292616,0.5189142047312766,0.43180788400543724,0.0012161751292186075
row_sim_4866,78.55295170787235,23.844234591610366,33.27237217144517,0.5446652364900094,0.956002950423667,0.10988630754897469,0.12192224250146355,0.13029818347994973,0.667908919649439,0.1839738348323794,0.578619153674833,0.015862708719851577
row_sim_4867,62.7626477838146,89.05137292182768,86.59321419974756,0.9925515707362664,0.8120901250306354,0.19255151801298012,0.037203457598720534,0.040871280793430734,0.39383986973201224,0.48451038575667654,0.33764271323035594,0.027963693041166224
row_sim_4868,104.34164806774733,67.13501851258413,111.1648012740794,0.7903899641587955,0.9077483831202343,0.20813099502392512,0.04130105080706316,0.04603505843071786,0.3284932767523902,0.3320271432667495,0.4605148973098062,0.032849725847930514
row_sim_4869,106.55223705265483,101.89444586318483,27.5809369311317,1.1281184615938122,1.144085577161923,0.053848895443291044,0.010889411971753525,0.010255215009905606,0.7125429553264605,0.4424583249648524,0.4687633262260128,0.0024991850483537977
row_sim_4870,63.79718678280423,88.36157981537707,117.13349581595855,0.9237029221144403,0.7434881777424651,0.22638970687014792,0.04423994258938748,0.053766082230478705,0.30336487907465826,0.4708764289602613,0.3256150506512301,0.03690807799442897
row_sim_4871,1.4470904847663777,39.287388346714586,41.114912797672524,0.014123922418539488,0.012314859226728274,0.012287552673291503,0.9637214745465185,0.9641239842021464,0.9633902106865336,0.0017554125219426564,0.0003930248433072006,0.00020030847505157943
row_sim_4872,34.65972164533372,98.10004475656527,5.456318825376319,1.327316108274104,0.8090243194470503,0.025264204594321837,0.003728052593602181,0.003627110542520139,0.9019108280254777,0.7262678173179482,0.25664383561643833,0.0002651113467656416
row_sim_4873,43.16419826351518,85.41656876271043,48.83842930688267,1.1385798806918734,0.8149103557918543,0.14444867140533604,0.02568351284175642,0.026036285489936768,0.5510776175913791,0.5831607290803645,0.2993523247854247,0.016576734237518837
row_sim_4874,17.33042686388531,73.32175410745255,62.737097855414575,0.5207862240114149,0.24126072658919306,0.11168853471045789,0.4446607095461382,0.4633152173913043,0.661249663476835,0.3370418848167539,0.08932741409838589,0.026089534538986065
